127,736,5,3
122,735,4,4
95,735,5,5
86,735,5,5
81,735,4,4
73,732,8,8
117,723,5,3
104,723,4,4
153,722,5,6
144,722,8,4
135,722,4,4
112,722,4,4
81,722,4,4
141,721,4,5
127,719,8,8
73,719,8,8
126,718,36,13
306,714,5,10
315,669,4,3
291,667,4,4
266,667,4,3
254,667,4,3
244,667,5,3
217,667,5,3
194,667,5,4
172,667,4,3
162,667,5,3
83,667,6,4
78,667,4,4
307,666,5,6
277,666,5,5
227,666,4,4
212,666,4,4
178,666,4,5
125,666,5,5
102,666,4,5
91,666,4,4
88,666,4,4
260,665,5,5
121,664,4,6
302,664,14,11
289,664,16,11
239,664,11,8
141,664,16,8
120,663,18,9
225,662,12,10
159,662,9,10
72,662,46,10
252,661,36,11
524,653,4,4
497,653,4,4
438,653,4,4
332,653,4,4
314,653,4,4
269,653,3,3
243,653,4,3
203,653,4,4
178,653,4,4
161,653,4,4
101,653,4,4
73,653,4,4
502,652,4,4
483,652,4,4
471,652,4,4
447,652,7,5
410,652,4,4
392,652,4,4
347,652,5,5
319,652,4,4
304,652,4,4
282,652,4,5
262,652,4,5
249,652,4,4
207,652,5,4
165,652,4,4
144,652,5,5
87,652,8,4
78,652,4,4
509,651,3,5
84,651,4,5
230,650,3,4
127,651,9,10
481,650,11,8
312,650,27,8
300,650,10,7
242,650,16,8
218,650,9,8
343,649,15,9
138,649,17,9
494,648,47,10
390,648,12,10
361,648,27,10
276,648,21,10
260,648,13,10
228,648,10,10
405,647,12,11
115,642,3,3
172,641,6,4
143,641,9,4
103,641,9,4
98,641,5,4
138,640,5,5
429,639,4,4
417,639,5,4
387,639,5,3
298,639,4,3
268,639,4,4
245,639,4,4
218,639,5,3
530,638,5,5
513,638,4,4
494,638,4,4
463,638,5,5
446,638,4,4
433,638,5,4
401,638,5,5
364,638,5,5
324,638,5,5
272,638,5,4
254,638,7,5
200,638,4,4
183,639,6,3
145,638,4,4
105,638,4,4
90,638,7,7
526,636,4,6
459,636,4,6
360,636,4,6
197,636,3,3
125,636,13,9
415,636,27,8
213,636,11,8
195,635,3,4
525,635,16,9
458,635,16,9
397,635,15,9
358,635,23,10
320,635,15,9
511,634,12,10
477,634,32,10
444,634,12,10
192,634,18,10
384,633,9,11
338,633,18,11
308,633,8,11
286,633,19,11
303,614,3,3
103,612,4,4
308,611,4,4
238,611,4,4
232,611,4,4
217,611,4,4
196,611,4,4
181,611,5,5
174,611,6,5
145,611,4,4
108,611,4,4
100,611,3,3
314,610,10,6
71,610,16,7
295,608,6,8
135,608,6,8
294,607,35,13
225,607,31,10
204,607,18,10
158,607,43,11
143,607,13,13
116,607,18,10
90,607,23,10
259,606,32,13
216,600,3,3
493,598,3,4
394,598,4,4
345,598,5,3
323,598,5,4
444,597,6,5
439,597,4,4
412,597,4,4
336,597,4,5
266,597,5,5
253,597,4,4
246,597,6,5
221,597,4,4
187,597,4,4
152,597,4,5
146,597,4,4
130,597,4,4
123,597,6,5
110,597,4,4
