74 537 60 737
75 216 154 334
374 537 387 514
77 311 578 737
219 375 207 321
74 308 60 209
382 537 208 321
212 372 388 540
319 535 60 154
269 428 485 649
75 211 361 541
377 537 387 603
107 331 60 209
77 417 539 737
334 535 60 154
74 216 112 334
213 375 207 321
220 376 388 540
382 537 208 321
75 219 361 541
370 537 387 514
75 217 206 334
207 361 388 540
358 535 61 154
77 311 578 737
382 537 208 321
219 375 207 321
269 428 485 649
217 355 60 157
75 208 361 541
74 213 60 184
75 311 361 737
74 306 60 334
290 537 387 649
306 537 60 321
