75 533 59 738
397 533 139 337
218 368 428 514
130 258 240 335
256 430 59 154
232 385 553 630
75 213 372 514
77 150 723 738
264 419 192 337
370 533 429 513
75 255 59 155
257 401 204 337
282 405 429 514
187 325 59 155
75 164 372 513
77 150 723 738
232 385 553 630
407 533 429 472
330 533 59 193
130 237 240 335
397 488 204 337
75 188 110 154
279 533 59 154
232 385 553 630
130 264 240 335
77 150 723 738
370 533 429 513
301 488 192 337
218 368 428 514
75 213 372 514
75 274 59 155
77 150 723 738
75 255 59 155
282 405 429 514
397 533 139 337
168 279 376 514
232 385 553 630
407 533 429 472
130 237 240 335
257 419 192 337
256 430 59 154
75 164 372 513
