75 532 59 738
273 529 492 718
363 532 184 430
77 260 521 738
75 218 115 439
78 440 59 252
204 427 277 492
217 410 175 317
75 287 59 223
77 260 521 738
304 513 59 231
273 529 492 718
77 201 213 439
414 532 230 430
204 427 343 504
77 201 212 439
217 392 175 317
77 260 521 738
75 278 59 223
364 532 315 503
273 529 492 718
279 440 59 141
185 368 343 504
410 531 184 317
81 210 334 439
410 531 184 317
85 228 521 635
279 440 59 141
214 375 343 492
413 529 492 626
75 278 59 141
77 136 722 738
234 406 492 718
374 532 315 430
268 392 175 317
