75 530 59 738
75 287 59 141
398 529 371 504
82 216 380 505
304 455 59 197
280 412 305 453
77 307 718 738
77 202 212 371
422 530 183 345
225 398 435 504
217 374 175 324
274 455 59 231
82 236 371 505
240 402 389 504
77 219 212 371
75 287 59 141
410 529 371 504
77 307 718 738
273 412 231 381
422 530 183 345
82 249 380 505
392 530 183 345
75 279 59 141
273 442 59 249
386 529 371 504
251 398 277 504
77 307 718 738
77 219 212 371
431 529 371 494
77 219 212 363
273 394 197 343
169 304 437 504
75 279 59 141
77 307 718 738
278 444 59 197
422 530 183 345
310 453 424 504
82 185 363 505
280 412 340 445
