59 555 154 742
65 266 154 506
59 555 726 742
224 262 378 406
131 180 203 280
59 130 726 742
506 555 738 741
131 165 479 506
216 265 277 354
65 68 377 380
218 266 204 243
306 309 739 740
123 165 352 404
65 152 154 206
216 265 277 354
306 309 739 740
59 130 726 742
218 266 204 243
131 165 479 506
506 555 738 741
65 152 154 206
65 165 352 404
131 180 203 280
224 262 378 406
194 239 154 167
194 266 154 280
131 165 479 506
506 555 738 741
59 130 726 742
65 165 352 404
65 152 154 206
216 265 316 406
306 309 739 740
131 180 203 280
