59 554 139 742
59 306 726 742
400 549 151 340
65 187 151 300
406 554 410 741
65 202 409 535
210 371 139 341
187 371 410 601
413 548 324 437
222 336 237 341
187 371 497 601
333 467 151 335
65 202 409 535
505 554 738 741
65 169 151 300
406 549 497 598
482 549 164 340
59 306 726 742
187 354 139 238
210 371 139 341
413 549 324 437
59 306 726 742
65 187 151 300
400 549 151 303
371 554 497 741
65 202 409 535
187 356 410 601
331 452 151 326
187 371 497 601
65 169 151 300
65 169 409 535
406 549 497 598
413 548 324 437
59 306 726 742
202 356 299 440
467 549 164 325
505 554 738 741
187 327 139 303
